5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.60007421286e-06	5.36349883947e-07	9.00485222389e-07	5.36349883947e-07	2.7791823452e-06	-7.4468553007e-07	9.00485222389e-07	-7.4468553007e-07	3.06367775138e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.60007421286e-06	5.36349883947e-07	9.00485222389e-07	5.36349883947e-07	2.7791823452e-06	-7.4468553007e-07	9.00485222389e-07	-7.4468553007e-07	3.06367775138e-06	0.0	2.26346568726e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-4.35113804309e-21	-6.19370250309e-19	-9.05762770746e-22	1.0	-3.23514473473e-19	-1.54269184241e-22	1.71009251888e-20	1.0	464239249.691	10279434.9726	-4645120.87671	10258915.7346	174753443.915	-1794921.92337	-4635848.86941	-1794922.52611	172994906.416	0.001998002662673058	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	464239249.691	10258917.138323354	-4635849.178353294	10258915.7346	174404634.64570856	-1791339.2448802395	-4635848.869409999	-1791339.8464171656	172649607.2015968	0.00133200177512	291385806.077
2	nan	nan	1	1	32.0	32.0	32.0	1.004	1.26005456686e-20	3.28104912282e-18	6.60503719124e-22	1.0	-2.99251611745e-19	-5.54955472962e-21	3.53113063741e-21	1.0	824381962.417	14440059.5948	-6281322.30873	14382529.7171	400280209.999	-2437952.65032	-6256297.23884	-2437953.2761	400177226.601	0.003992021269537457	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	824381962.417	14382529.47689243	-6256297.120249004	14382529.7171	398685468.12649405	-2428239.691553785	-6256297.238839999	-2428240.314840637	398582895.02091634	0.00266134751302	426634345.861
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-3.15559063931e-21	1.9787496149e-18	-1.52077155618e-21	1.0	-4.15241358779e-19	-5.28237539176e-21	6.22935243653e-20	1.0	1112980857.19	14714640.0561	-5862288.71097	14626879.0709	661261471.571	-2903779.51038	-5827325.25177	-2903779.14821	662179088.967	0.005982071677547469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1112980857.19	14626878.783399602	-5827324.762395627	14626879.0709	657317566.1739563	-2886460.745904573	-5827325.25177	-2886460.3858946324	658229710.7027833	0.00398804778503	456051467.364
4	nan	nan	1	1	32.0	32.0	32.0	1.008	4.81714833575e-20	-3.35375002686e-18	6.36019172992e-21	1.0	-5.06943924976e-18	-5.7199539358e-21	-1.35628772535e-19	1.0	1392967049.13	14483556.4613	-5603995.12417	14368604.8775	927157951.106	-3177880.7282	-5559519.82787	-3177878.45553	927996267.416	0.007968169649176881	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	0.0	1392967049.13	14368607.600496033	-5559518.972390873	14368604.877500001	919799554.6686507	-3152659.452579365	-5559519.827870003	-3152657.197946433	920631217.6746032	0.00531211309945	473536235.831
5	nan	nan	1	1	32.0	32.0	32.0	1.01	1.26769151187e-19	2.15546475865e-18	1.0053553165e-20	1.0	-4.89809374895e-18	-3.3507018663e-21	-1.25569015515e-19	1.0	1670319374.77	14270649.2858	-5473663.87907	14129343.702	1194602029.81	-3391412.49166	-5419464.34707	-3391408.67321	1195347881.62	0.009950330853168092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1670319374.77	14129355.728514852	-5419469.18719802	14129343.702	1182774286.940594	-3357834.1501584155	-5419464.347069997	-3357830.3695148574	1183512754.079208	0.00663355390211	487915540.352
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-3.9270399581e-20	-9.91458320315e-19	4.83569786098e-21	1.0	1.46764786657e-17	5.17546229759e-21	1.72841301848e-19	1.0	1946222655.3	14147701.2261	-5407883.59398	13979913.5392	1462951545.07	-3577073.10737	-5343751.63999	-3577066.44653	1463722226.62	0.011928570865273812	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1946222655.3	13979941.923023714	-5343758.492075099	13979913.5392	1445604293.5474308	-3534657.220721343	-5343751.639990001	-3534650.6388636148	1446365836.5810275	0.00795238057685	500946649.129
7	nan	nan	1	1	32.0	32.0	32.0	1.014	3.8234769454e-20	4.73092256341e-18	8.37106779904e-21	1.0	5.89570665491e-18	1.33109904172e-20	-2.05696295393e-19	1.0	2221105649.12	14118713.1407	-5383968.46475	13923751.1794	1732028438.15	-3750476.63213	-5309625.43081	-3750470.02276	1732881533.36	0.013902905168991434	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2221105649.12	13923780.21765286	-5309633.594428008	13923751.179400003	1708114830.5226827	-3698694.9034812627	-5309625.430809991	-3698688.3853648817	1708956147.2978303	0.00926860344599	513260100.931
8	nan	nan	1	1	32.0	32.0	32.0	1.016	3.21806345508e-20	-1.43958849399e-17	6.25844851458e-21	1.0	7.30059020727e-18	2.02526901177e-20	-1.36598641803e-19	1.0	2495165141.55	14168136.4771	-5385579.67779	13944965.4213	2001750089.0	-3917055.17117	-5300750.74192	-3917029.37124	2002716635.42	0.015873349156290163	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2495165141.55	13945016.21761811	-5300767.3993996065	13944965.4213	1970226465.551181	-3855369.262962599	-5300750.741920029	-3855343.8693306944	1971177790.7677166	0.0105822327709	525142271.151
9	nan	nan	1	1	32.0	32.0	32.0	1.018	1.43568775837e-19	-3.08091815029e-17	8.72840982366e-21	1.0	-1.07444077951e-17	3.33618484655e-20	-1.84922429791e-20	1.0	2768496920.93	14279055.3671	-5409390.38067	14026512.06	2272086264.9	-4081138.30554	-5313737.50022	-4081087.74249	2273169713.28	0.017839918128331016	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	0.0	2768496920.9300003	14026576.981434185	-5313743.006552063	14026512.06	2231911851.571709	-4008976.724499018	-5313737.500220069	-4008927.055491183	2232976142.711199	0.0118932787522	536727809.122
